"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 04 16:49:27 IST 2025","Thu Dec 04 16:49:48 IST 2025","21338","Retail sector failed test cases Suite","Test","markets.SignUpPageTest","markets.SignUpPageTest","verifyFxnalitiesInSignUpMKT_I239","verifyFxnalitiesInSignUpMKT_I239",""
"broken","Thu Dec 04 15:26:06 IST 2025","Thu Dec 04 15:28:19 IST 2025","133347","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","resetCatchment_1846Test","resetCatchment_1846Test",""
"skipped","Thu Dec 04 16:34:23 IST 2025","Thu Dec 04 16:34:23 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","VerifyPropertyNameInBlueColor_PropertyTransactionsTable_TC9587","VerifyPropertyNameInBlueColor_PropertyTransactionsTable_TC9587",""
"passed","Thu Dec 04 16:05:37 IST 2025","Thu Dec 04 16:06:01 IST 2025","23697","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyPaidTransactionReportAppear_TC3524","verifyPaidTransactionReportAppear_TC3524",""
"broken","Thu Dec 04 14:35:37 IST 2025","Thu Dec 04 14:36:10 IST 2025","32875","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","checkAllCheckboxDefaultEnabled_6032Test","checkAllCheckboxDefaultEnabled_6032Test",""
"skipped","Thu Dec 04 16:04:00 IST 2025","Thu Dec 04 16:04:00 IST 2025","0","Retail sector failed test cases Suite","Test","markets.ResidentialPropertiesTest","markets.ResidentialPropertiesTest","checkSetbackBox_8177Test","checkSetbackBox_8177Test",""
"skipped","Thu Dec 04 16:18:33 IST 2025","Thu Dec 04 16:18:33 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyTrailing12MonthText_TotalUnitTransactionsBox_TC6463","verifyTrailing12MonthText_TotalUnitTransactionsBox_TC6463",""
"skipped","Thu Dec 04 16:23:42 IST 2025","Thu Dec 04 16:23:42 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyLastPageLabelAppearsOnHover_UnitTransactionsTable_TC6664","verifyLastPageLabelAppearsOnHover_UnitTransactionsTable_TC6664",""
"passed","Thu Dec 04 17:42:10 IST 2025","Thu Dec 04 17:43:31 IST 2025","80737","Retail sector failed test cases Suite","Test","markets.IndustrialPropertiesSectorTest","markets.IndustrialPropertiesSectorTest","verifyGradeText_1stBox__Arabic_WarehouseRental_TC9652","verifyGradeText_1stBox__Arabic_WarehouseRental_TC9652",""
"skipped","Thu Dec 04 14:27:51 IST 2025","Thu Dec 04 14:27:51 IST 2025","2","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkTenantsTableColumn_7424Test","checkTenantsTableColumn_7424Test",""
