"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Dec 03 12:22:05 IST 2025","Wed Dec 03 12:22:48 IST 2025","43390","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","checkGlobalSearchToolTipArabic_3619Test","checkGlobalSearchToolTipArabic_3619Test",""
"skipped","Wed Dec 03 13:34:04 IST 2025","Wed Dec 03 13:34:04 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyHeaderCountDisplayed_UnitTransactionsTable_TC7408","verifyHeaderCountDisplayed_UnitTransactionsTable_TC7408",""
"passed","Wed Dec 03 11:21:55 IST 2025","Wed Dec 03 11:22:33 IST 2025","38145","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkDownloadedPropertiesTableExcelSheetColumns_7416Test","checkDownloadedPropertiesTableExcelSheetColumns_7416Test",""
"passed","Wed Dec 03 12:08:49 IST 2025","Wed Dec 03 12:09:54 IST 2025","65189","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","checkAmenitySearchCommaSeperatedCategories_6042Test","checkAmenitySearchCommaSeperatedCategories_6042Test",""
"broken","Wed Dec 03 12:06:06 IST 2025","Wed Dec 03 12:06:39 IST 2025","32755","Retail sector failed test cases Suite","Test","markets.Markets_MapTest","markets.Markets_MapTest","checkAmenityFilter5SecPopup_4375Test","checkAmenityFilter5SecPopup_4375Test",""
"skipped","Wed Dec 03 11:59:44 IST 2025","Wed Dec 03 11:59:44 IST 2025","0","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","verifyPaginationButtonFxnalityTenants_7431Test","verifyPaginationButtonFxnalityTenants_7431Test",""
"skipped","Wed Dec 03 13:34:56 IST 2025","Wed Dec 03 13:34:56 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyTrailing12MonthText_TotalPropertyTransactionsBox_TC6461","verifyTrailing12MonthText_TotalPropertyTransactionsBox_TC6461",""
"failed","Wed Dec 03 13:07:06 IST 2025","Wed Dec 03 13:08:11 IST 2025","65585","Retail sector failed test cases Suite","Test","markets.ResidentialPropertiesTest","markets.ResidentialPropertiesTest","checkConstructionStatus_PropertyDetailsPage_8184Test","checkConstructionStatus_PropertyDetailsPage_8184Test",""
"skipped","Wed Dec 03 13:34:49 IST 2025","Wed Dec 03 13:34:49 IST 2025","0","Retail sector failed test cases Suite","Test","markets.Markets_PaidTransactionReportTest","markets.Markets_PaidTransactionReportTest","verifyLockedFunctionalitySubscriptionMessage_TC6442","verifyLockedFunctionalitySubscriptionMessage_TC6442",""
"passed","Wed Dec 03 11:09:38 IST 2025","Wed Dec 03 11:10:12 IST 2025","34417","Retail sector failed test cases Suite","Test","markets.RetailSectorTest","markets.RetailSectorTest","checkAverageValuesInTenants_7467Test","checkAverageValuesInTenants_7467Test",""
